Zusammenfassung,Vorgangsschlüssel,Vorgangs-ID,Vorgangstyp,Status,Projektschlüssel,Projektname,Projekttyp,Projektleiter,ID des Projektleiters,Projektbeschreibung,Priorität,Lösung,Zugewiesene Person,ID der zugewiesenen Person,Autor,ID des Autors,Ersteller,Ersteller-ID,Erstellt,Aktualisiert,Zuletzt angezeigt,Erledigt,Fälligkeitsdatum,Stimmen,Beschreibung,Umgebung,Beobachter,ID des Beobachters,Ursprüngliche Schätzung,Verbleibende Schätzung,Benötigte Zeit,Verhältnis tatsächlicher zu geschätzter Arbeit,Σ Ursprüngliche Schätzung,Σ Verbleibende Schätzung,Σ Benötigte Zeit,Sicherheitsstufe,Benutzerdefinierte Felder (Issue color),Benutzerdefinierte Felder (Rank),Benutzerdefinierte Felder (Start date),Benutzerdefinierte Felder (Team),Benutzerdefinierte Felder (Vulnerability),Benutzerdefinierte Felder (development),Statuskategorie,Statuskategorie geändert,Übergeordnet,Übergeordneter Schlüssel,Parent summary
Mengenmeldung Formular,RSTFTNG-19,10047,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:51 PM,16/Jan/26 5:54 PM,16/Jan/26 6:21 PM,,,0,"Als Benutzer möchte ich eine Mengenmeldung abgeben, um meine Daten zu übermitteln.

Akzeptanzkriterien*:*

* Pflichtfelder validiert
* Zeitraum korrekt formatiert (YYYY-MM) [Hart]
* Submit nur bei gültigem Formular
* Regiestrierungsnummer ist [12345678] [um SOAP service erfolgerich zu testen]",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00073:,,,,,Zu erledigen,16/Jan/26 5:51 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
Mengenmeldung speichern,RSTFTNG-24,10057,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:59 PM,16/Jan/26 5:59 PM,16/Jan/26 6:21 PM,,,0,"Als System möchte ich Mengenmeldungen persistieren, um sie später anzeigen zu können.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00087:,,,,,Zu erledigen,16/Jan/26 5:59 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
Mengenmeldungen anzeigen,RSTFTNG-32,10073,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:17 PM,16/Jan/26 6:17 PM,16/Jan/26 6:22 PM,,,0,"Als Benutzer möchte ich meine Mengenmeldungen sehen, um deren Status zu prüfen.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009z:,,,,,Zu erledigen,16/Jan/26 6:17 PM,10024,RSTFTNG-7,EPIC 3 - Mengenmeldungen anzeigen
Suche & Filter,RSTFTNG-36,10081,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:19 PM,16/Jan/26 6:19 PM,16/Jan/26 6:32 PM,,,0,"Als Benutzer möchte ich Mengenmeldungen durchsuchen, um schnell relevante Einträge zu finden",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000av:,,,,,Zu erledigen,16/Jan/26 6:19 PM,10024,RSTFTNG-7,EPIC 3 - Mengenmeldungen anzeigen
Zugriff absichern,RSTFTNG-11,10031,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:47 PM,16/Jan/26 5:49 PM,16/Jan/26 5:48 PM,,,0,"Als System möchte ich geschützte Endpunkte absichern, damit nur authentifizierte Benutzer zugreifen können.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005b:,,,,,Zu erledigen,16/Jan/26 5:47 PM,10016,RSTFTNG-1,EPIC 1 - Authentication & User Managment
Übermittlung an externes System,RSTFTNG-28,10065,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:09 PM,16/Jan/26 6:10 PM,16/Jan/26 6:21 PM,,,0,Als System möchte ich Mengenmeldungen an ein externes SOAP-System senden.,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00093:,,,,,Zu erledigen,16/Jan/26 6:09 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
[ng] - Component Tests,RSTFTNG-48,10105,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dj:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
[ng] - Form Tests,RSTFTNG-50,10109,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dz:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
[ng] - Service Mocks,RSTFTNG-49,10107,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dr:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
Auth Guard im FE,RSTFTNG-14,10037,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:49 PM,16/Jan/26 5:49 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005z:,,,,,Zu erledigen,16/Jan/26 5:49 PM,10031,RSTFTNG-11,Zugriff absichern
